Concepto,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019 R,2020 R,2021 R,2022 P
Millones de pesos a precios de 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a  Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michoacán de Ocampo,260181.052,279519.429,282663.39300000004,277660.71699999995,287279.898,294893.038,291491.817,299033.717,304548.069,313917.509,326993.653,336933.925,344014.90499999997,342922.97500000003,364984.886,357772.25600000005,372008.218,412081.048,418543.91699999996,443564.15400000004,451793.037,440699.83499999996,434174.053,448524.814,459993.952,461303.8569999999,485161.70399999997,499362.052,511751.72799999994,491327.01,502494.7940000001,522286.5630000001,531827.401,533525.8060000001,560341.417,573505.865,591409.519,610394.385,633756.559,636102.763,600472.492,623966.1359999999,646901.4829999999
Morelos,130212.646,140542.55800000002,140692.478,135296.83,139636.052,142764.341,139069.037,142350.99,144824.194,149798.34600000002,156870.66700000002,161946.75600000002,166653.19499999998,173068.497,176584.99300000002,157617.989,166374.385,177536.742,193594.149,202707.277,206506.90699999998,214338.52300000002,208522.438,217613.142,224157.81,235326.28799999997,232043.608,237033.90699999995,231184.487,222778.28699999998,232495.23400000003,241158.46999999997,248100.47099999996,258139.365,259665.78199999995,265750.876,274364.869,277402.793,273244.597,267470.64700000006,241211.917,255737.27000000002,256739.57900000003
Nayarit,78660.796,85476.368,85672.90000000001,83101.881,85770.444,87404.62599999999,84854.899,86636.841,87659.17599999999,90779.724,96157.21399999999,100823.095,105565.16200000001,109103.474,112712.606,98045.99299999999,99798.37800000001,101315.849,111041.348,114192.15299999999,115655.77100000001,119642.886,116345.763,112071.42300000001,128877.87999999999,135701.452,135896.55599999998,133768.03100000002,143531.32200000001,134902.594,137487.19100000002,141214.937,142897.855,145073.201,145894.41799999998,147428.81100000002,152585.941,155110.355,155757.53799999997,158044.337,142683.577,155442.162,161868.678
Nuevo León,617991.0800000001,688550.973,689748.5959999999,650982.1329999999,680103.575,697456.76,665305.117,683097.9199999999,694487.6919999999,725048.317,769293.924,803906.2209999999,838399.236,870417.876,916740.227,853356.7999999999,906779.122,993197.6229999999,1077062.017,1137219.584,1212180.7440000002,1213057.555,1238800.332,1289662.1219999997,1335507.8390000002,1368861.9909999997,1469583.8980000003,1532409.515,1531655.0399999998,1411038.6519999998,1509564.2710000002,1558834.9949999999,1621930.2710000002,1611568.7880000002,1666974.7010000004,1728163.992,1743960.883,1809343.556,1909026.435,1944221.3649999998,1754967.883,1880258.0769999996,1945060.1600000001
Oaxaca,244741.172,262007.269,262454.683,254205.73,261329.743,266421.896,260431.738,265500.815,268784.772,276217.638,288209.053,297421.95399999997,307185.322,313397.486,344896.493,306954.506,319534.739,327015.68,334657.797,343293.94800000003,355730.604,358564.555,362128.852,362456.14999999997,369439.028,376461.0410000001,380271.44700000004,378474.4100000001,388520.309,385689.5290000001,379991.32100000005,385968.00000000006,386537.7,397816.02699999994,395065.139,401404.011,399767.90299999993,358236.419,383159.64599999995,364526.13399999996,346133.85099999997,377922.416,407238.09400000004
Puebla,308397.163,336057.021,336332.435,320161.124,332213.538,341115.83099999995,329437.38,338783.40499999997,344990.458,357570.479,375451.267,385949.837,395756.54,405919.866,425377.902,390625.793,425612.77300000004,464012.26999999996,505678.766,544796.012,563688.5290000001,573874.3470000001,562578.5989999999,576613.1250000001,592032.2660000001,621212.0470000001,650292.566,674599.97,674193.135,624404.773,671261.179,707410.0279999999,747711.7849999998,735647.5009999999,747336.718,765649.97,781511.0650000001,835368.657,849556.0030000001,846268.405,755443.268,784934.698,820789.745
Querétaro,175561.876,198478.89,197183.528,179814.669,188626.446,194642.25199999998,181294.454,186881.16700000002,189848.45799999998,198639.217,213298.179,224437.967,239270.704,249996.00199999998,266657.533,249677.708,275429.11699999997,311036.856,345343.60599999997,355088.07999999996,368560.567,368073.905,361864.277,361413.51800000004,384867.51699999993,403091.74100000004,427146.9479999999,451359.31899999996,451687.48500000004,430538.218,470414.96900000004,509818.25800000003,526760.6460000001,522047.708,542149.1919999999,574578.187,576734.826,591415.259,611367.7499999999,603210.6689999999,547557.5360000001,574666.395,592138.818
Quintana Roo,91703.466,99980.216,99390.22200000001,95478.357,98611.552,100014.657,97316.33899999999,99925.011,102517.019,107924.653,114991.92499999999,122000.95000000001,129251.814,135856.072,140495.158,134354.565,146787.79700000002,160989.365,174543.175,174096.956,180224.21,189902.12600000002,188918.367,196536.479,213011.74999999997,220251.865,234332.55699999997,253901.25100000002,266797.067,243054.262,255104.161,268258.78,280380.539,289182.389,300005.938,318607.819,339733.43700000003,357116.77099999995,377340.667,377323.854,295596.02599999995,333598.728,357538.613
San Luis Potosí,186212.873,204513.595,203667.92799999999,192541.554,199365.178,203356.617,194413.403,198907.789,201730.855,209760.856,222175.786,231723.19100000002,240115.625,247556.065,264259.318,237666.352,254611.96999999997,271486.832,288747.333,295819.416,310464.565,307856.591,307862.796,321098.785,352876.293,366859.43499999994,377360.11000000004,382599.136,396936.76300000004,372395.45000000007,393802.13,416107.84700000007,437595.484,450257.199,460034.17600000004,480024.605,505856.104,540243.6640000001,557795.9519999999,545749.311,506947.069,518586.70199999993,537933.222
Sinaloa,255449.731,277443.379,277301.13399999996,269176.196,277534.929,283610.763,275432.429,281418.354,283922.528,292598.806,308943.744,320499.134,327922.167,337214.92000000004,344143.941,327570.36899999995,332225.363,340612.525,356125.715,365612.281,391566.99700000003,383669.662,370366.756,371316.275,396222.84400000004,393983.56700000004,411251.1,431732.231,452116.58099999995,437071.05600000004,441733.30999999994,452498.76000000007,466781.77699999994,465716.02,465691.046,485181.1930000001,507491.75700000004,518703.28599999996,527714.0609999999,525060.0839999999,485228.739,506855.242,516711.15800000005
Sonora,310677.357,345288.32399999996,342667.23099999997,318569.226,331187.849,340299.333,319284.907,327130.427,329333.277,341157.46499999997,365246.87100000004,381781.173,401565.199,412351.75100000005,446592.628,427732.85099999997,443592.82899999997,490764.86100000003,527235.04,544837.721,591564.059,573834.854,527470.5939999999,510814.14800000004,533388.5190000001,559241.969,605738.979,614338.181,623269.5419999999,574217.794,595753.065,648753.4850000001,681378.519,709513.5299999999,721989.413,760030.9560000001,792034.337,784601.3969999999,782097.7390000001,785933.011,737229.3790000001,768018.201,804668.1759999999
